Date,DA_DEMD,DA_LMP,DEMAND,RT_LMP
2011-01-01 01:00:00,11722,38.51,12055,41.57
2011-01-01 02:00:00,11253,36.86,11430,34.91
2011-01-01 03:00:00,10459,35.92,10966,35.46
2011-01-01 04:00:00,10531,35.94,10725,34.14
2011-01-01 05:00:00,10841,36.05,10672,33.63
2011-01-01 06:00:00,10661,36.05,10852,34.25
2011-01-01 07:00:00,11640,37.29,11255,34.01
2011-01-01 08:00:00,11972,37.97,11583,30.08
2011-01-01 09:00:00,12735,39.36,12238,32.28
2011-01-01 10:00:00,13503,38.88,12877,32.79
2011-01-01 11:00:00,13847,39.64,13349,36.15
2011-01-01 12:00:00,13799,39.68,13510,35.52
2011-01-01 13:00:00,13639,39.64,13492,34.44
2011-01-01 14:00:00,13452,38.52,13314,26.91
2011-01-01 15:00:00,13299,37.79,13156,21.95
2011-01-01 16:00:00,13436,38.01,13364,25.02
2011-01-01 17:00:00,14728,40.16,14632,36.57
2011-01-01 18:00:00,15682,53.92,15653,43.09
2011-01-01 19:00:00,15699,50.63,15504,39.05
2011-01-01 20:00:00,15366,44.22,15088,37.87
2011-01-01 21:00:00,14663,39.71,14579,36.59
2011-01-01 22:00:00,13718,38.58,13882,36.51
2011-01-01 23:00:00,12711,39.02,12931,35.12
2011-01-02 00:00:00,11430,37.21,11883,34.52
2011-01-02 01:00:00,11259,37.51,10978,29.99
2011-01-02 02:00:00,10591,35.9,10406,22.94
2011-01-02 03:00:00,10317,34.29,10089,19.94
2011-01-02 04:00:00,10298,32.84,9982,8.29
2011-01-02 05:00:00,10338,32.88,10031,1.66
2011-01-02 06:00:00,10558,35.11,10289,0.0
2011-01-02 07:00:00,10893,35.89,10818,0.0
2011-01-02 08:00:00,11540,38.04,11444,30.91
2011-01-02 09:00:00,12398,39.12,12346,45.62
2011-01-02 10:00:00,13071,39.73,13274,39.42
2011-01-02 11:00:00,13520,40.0,13816,41.49
2011-01-02 12:00:00,13571,40.24,14103,41.08
2011-01-02 13:00:00,13700,39.9,14228,39.94
2011-01-02 14:00:00,13569,39.5,14154,38.55
2011-01-02 15:00:00,13501,38.85,14055,37.54
2011-01-02 16:00:00,13655,39.77,14197,37.47
2011-01-02 17:00:00,14755,40.16,15453,47.17
2011-01-02 18:00:00,15893,58.76,16531,60.79
2011-01-02 19:00:00,16009,55.63,16410,46.77
2011-01-02 20:00:00,15547,48.59,15954,47.95
2011-01-02 21:00:00,15025,42.1,15337,40.51
2011-01-02 22:00:00,14049,41.08,14347,37.51
2011-01-02 23:00:00,12748,40.85,13178,35.27
2011-01-03 00:00:00,11644,38.62,12106,26.67
2011-01-03 01:00:00,10983,36.09,11400,23.7
2011-01-03 02:00:00,10695,34.17,11059,30.19
2011-01-03 03:00:00,10527,34.4,10959,30.83
2011-01-03 04:00:00,10550,33.42,11073,2.52
2011-01-03 05:00:00,10845,35.88,11485,0.0
2011-01-03 06:00:00,11971,39.23,12645,26.0
2011-01-03 07:00:00,13894,45.3,14725,55.0
2011-01-03 08:00:00,15041,49.53,15863,41.89
2011-01-03 09:00:00,15343,48.63,16076,41.35
